Weapon,Damage,Damage Type,Size,Weight
Spear,1d8,Piercing,Large,9 lb.
Katana,1d8,Slashing,Large,6 lb.
Longsword,1d8,Slashing,Med,4 lb.
Hatchet,1d6,Slashing,Small,4 lb.
Rapier,1d6,Piercing,Med,3 lb.
Sword cane,1d6,Piercing,Med,3 lb.
Club,1d4,Bludgeoning,Med,3 lb.
Sap,1d3,Bludgeoning,Small,3 lb.
Kama,1d6,Slashing,Small,2 lb.
Machete,1d6,Slashing,Small,2 lb.
Cleaver,1d4,Slashing,Small,2 lb.
Metal baton,1d4,Bludgeoning,Med,2 lb.
Tonfa,1d4,Bludgeoning,Med,2 lb.
Nunchaku,1d3,Bludgeoning,Small,2 lb.
Whip ,1d2,Bludgeoning,Small,2 lb.
Chain saw,1d10,Slashing,Large,10 lb.
Kukri,1d6,Slashing,Small,1 lb.
Bayonet (fixed),1d5,Piercing,Large,1 lb.
Knife,1d4,Piercing,Tiny,1 lb.
Brass knuckles,1d3,Bludgeoning,Tiny,1 lb.
Stun gun,0,None,Tiny,1 lb.
Straight razor,1d3,Slashing,Tiny,0.5 lb.