Weapon,Damage,Damage Type,Rate of Fire,Magazine,Size,Weight
M-60,d10,Ballistic,A,100,Huge,22 lb.
M2HB,2d6,Ballistic,A,100,Huge,75 lb.
TEC-9 (9mm machine pistol),1d6,Ballistic,"S,A",32,Med,4 lb.
MAC Ingram M10 (.45 machine pistol),1d6,Ballistic,"S,A",30,Med,6 lb.
HK MP5 (9mm submachine gun),d6,Ballistic,"S,A",30,Large,7 lb.
AKM/AK-47 (7.62mmR assault rifle),d8,Ballistic,"S,A",30,Large,10 lb.
M16A2 (5.56mm assault rifle),d8,Ballistic,"S,A",30,Large,8 lb.
M4 Carbine (5.56mm assault rifle),d8,Ballistic,"S,A",30,Large,7 lb.
Steyr AUG (5.56mm assault rifle),d8,Ballistic,"S,A",30,Large,9 lb.
Skorpion (.32 machine pistol),1d4,Ballistic,"S,A",20,Med,4 lb.
Beretta 93R (9mm machine pistol),1d6,Ballistic,"S,A",20,Med,3 lb.
Uzi (9mm submachine gun),d6,Ballistic,"S,A",20,Large,8 lb.
HK G3 (7.62mm assault rifle),d10,Ballistic,"S,A",20,Large,11 lb.
Glock 17 (9mm autoloader),1d6,Ballistic,S,17,Small,2 lb.
Beretta 92F (9mm autoloader),1d6,Ballistic,S,15,Small,3 lb.
Glock 201 (10mm autoloader),1d6,Ballistic,S,15,Small,3 lb.
HK MP5K (9mm submachine gun),d6,Ballistic,"S,A",15,Med,5 lb.
Barrett Light Fifty (.50 sniper rifle),2d6,Ballistic,S,11,Huge,35 lb.
Flamethrower,d8,Flaming,A,10,Large,50 lb.
Colt Double Eagle (10mm autoloader),1d6,Ballistic,S,9,Small,3 lb.
Desert Eagle (.50AE autoloader),1d10,Ballistic,S,8,Med,4 lb.
SITES M9 (9mm autoloader),1d6,Ballistic,S,8,Tiny,2 lb.
AA-12 (12-gauge automatic shotgun),"slug d10, buck d8",Ballistic,"S,A",8,Large,14 lb
Walther PPK (.32 autoloader),1d4,Ballistic,S,7,Small,1 lb.
Colt M1911 (.45 autoloader),1d6,Ballistic,S,7,Small,3 lb.
Benelli 121 M1 (12-gague shotgun),"slug d10, buck d8",Ballistic,S,7,Large,8 lb.
Pathfinder (.22 revolver),1d3,Ballistic,S,6,Tiny,1 lb.
Ruger Service-Six (.38S revolver),1d6,Ballistic,S,6,Small,2 lb.
S&W M29 (.44 magnum revolver),1d8,Ballistic,S,6,Med,3 lb.
Colt Python1 (.357 revolver),1d8,Ballistic,S,6,Med,3 lb.
Winchester 94 (.444 hunting rifle),d10,Ballistic,S,6,Large,7 lb.
Mossberg (12-gauge shotgun),"slug d10, buck d8",Ballistic,S,6,Large,7 lb.
Browning BPS (10-gauge shotgun),"slug d10, buck d8",Ballistic,S,5,Large,11 lb.
HK PSG11 (7.62mm sniper rifle),d10,Ballistic,S,5,Large,16 lb.
Beretta M3P (12-gauge shotgun),"slug d10, buck d8",Ballistic,S,5,Large,9 lb.
Remington 700 (7.62mm hunting rifle),d10,Ballistic,S,5,Large,8 lb.
Derringer (.45),1d4,Ballistic,S,2,Tiny,1 lb.
Sawed-off shotgun (12-ga shotgun),"slug d10, buck d8",Ballistic,S,2,Med,4 lb.
M72A3 LAW (rocket launcher),2d10/2d6 (15ft),Explosive,S,1,Large,5 lb.
M79 (grenade launcher),2d6/d8 (10ft),Explosive,S,1,Large,7 lb.
Crossbow,1d6,Piercing,S,1,Med,7 lb.
Pepper spray,0,None,S,1,Tiny,0.5 lb.
Taser,0,None,S,1,Small,2 lb.
Compound bow,1d4,Piercing,S,1,Large,3 lb.
Javelin,d6,Piercing,S,1,Med,2 lb.
Shuriken,1,Slashing,S,1,Tiny,0.5 lb.